File extension , Spoken form
bin            , bin
c              , see
cpp            , see plus plus
cs             , see sharp
csv            , csv
exe            , exe
hs             , high school
java
js             , java script
json           , jason
json           , jay son
lua
md             , mark down
py             , pie
sh             , shell
talon
talon          , talent
ts             , type script
txt            , text
vim
