File extension , Spoken form
py             , pie
talon
md             , mark down
sh             , shell
vim
c              , see
cs             , see sharp
cpp            , see plus plus
exe            , exe
bin            , bin
json           , jason
json           , jay son
java
js             , java script
ts             , type script
txt            , text
lua
