U+2190 	LEFTWARDS ARROW (U+2190) 	← 	arial_unicode_ms
U+2191 	UPWARDS ARROW (U+2191) 	↑ 	arial_unicode_ms
U+2192 	RIGHTWARDS ARROW (U+2192) 	→ 	arial_unicode_ms
U+2193 	DOWNWARDS ARROW (U+2193) 	↓ 	arial_unicode_ms
U+2194 	LEFT RIGHT ARROW (U+2194) 	↔ 	arial_unicode_ms
U+2195 	UP DOWN ARROW (U+2195) 	↕ 	arial_unicode_ms
U+2196 	NORTH WEST ARROW (U+2196) 	↖ 	arial_unicode_ms
U+2197 	NORTH EAST ARROW (U+2197) 	↗ 	arial_unicode_ms
U+2198 	SOUTH EAST ARROW (U+2198) 	↘ 	arial_unicode_ms
U+2199 	SOUTH WEST ARROW (U+2199) 	↙ 	arial_unicode_ms
U+219A 	LEFTWARDS ARROW WITH STROKE (U+219A) 	↚ 	arial_unicode_ms
U+219B 	RIGHTWARDS ARROW WITH STROKE (U+219B) 	↛ 	arial_unicode_ms
U+219C 	LEFTWARDS WAVE ARROW (U+219C) 	↜ 	arial_unicode_ms
U+219D 	RIGHTWARDS WAVE ARROW (U+219D) 	↝ 	arial_unicode_ms
U+219E 	LEFTWARDS TWO HEADED ARROW (U+219E) 	↞ 	arial_unicode_ms
U+219F 	UPWARDS TWO HEADED ARROW (U+219F) 	↟ 	arial_unicode_ms
U+21A0 	RIGHTWARDS TWO HEADED ARROW (U+21A0) 	↠ 	arial_unicode_ms
U+21A1 	DOWNWARDS TWO HEADED ARROW (U+21A1) 	↡ 	arial_unicode_ms
U+21A2 	LEFTWARDS ARROW WITH TAIL (U+21A2) 	↢ 	arial_unicode_ms
U+21A3 	RIGHTWARDS ARROW WITH TAIL (U+21A3) 	↣ 	arial_unicode_ms
U+21A4 	LEFTWARDS ARROW FROM BAR (U+21A4) 	↤ 	arial_unicode_ms
U+21A5 	UPWARDS ARROW FROM BAR (U+21A5) 	↥ 	arial_unicode_ms
U+21A6 	RIGHTWARDS ARROW FROM BAR (U+21A6) 	↦ 	arial_unicode_ms
U+21A7 	DOWNWARDS ARROW FROM BAR (U+21A7) 	↧ 	arial_unicode_ms
U+21A8 	UP DOWN ARROW WITH BASE (U+21A8) 	↨ 	arial_unicode_ms
U+21A9 	LEFTWARDS ARROW WITH HOOK (U+21A9) 	↩ 	arial_unicode_ms
U+21AA 	RIGHTWARDS ARROW WITH HOOK (U+21AA) 	↪ 	arial_unicode_ms
U+21AB 	LEFTWARDS ARROW WITH LOOP (U+21AB) 	↫ 	arial_unicode_ms
U+21AC 	RIGHTWARDS ARROW WITH LOOP (U+21AC) 	↬ 	arial_unicode_ms
U+21AD 	LEFT RIGHT WAVE ARROW (U+21AD) 	↭ 	arial_unicode_ms
U+21AE 	LEFT RIGHT ARROW WITH STROKE (U+21AE) 	↮ 	arial_unicode_ms
U+21AF 	DOWNWARDS ZIGZAG ARROW (U+21AF) 	↯ 	arial_unicode_ms
U+21B0 	UPWARDS ARROW WITH TIP LEFTWARDS (U+21B0) 	↰ 	arial_unicode_ms
U+21B1 	UPWARDS ARROW WITH TIP RIGHTWARDS (U+21B1) 	↱ 	arial_unicode_ms
U+21B2 	DOWNWARDS ARROW WITH TIP LEFTWARDS (U+21B2) 	↲ 	arial_unicode_ms
U+21B3 	DOWNWARDS ARROW WITH TIP RIGHTWARDS (U+21B3) 	↳ 	arial_unicode_ms
U+21B4 	RIGHTWARDS ARROW WITH CORNER DOWNWARDS (U+21B4) 	↴ 	arial_unicode_ms
U+21B5 	DOWNWARDS ARROW WITH CORNER LEFTWARDS (U+21B5) 	↵ 	arial_unicode_ms
U+21B6 	ANTICLOCKWISE TOP SEMICIRCLE ARROW (U+21B6) 	↶ 	arial_unicode_ms
U+21B7 	CLOCKWISE TOP SEMICIRCLE ARROW (U+21B7) 	↷ 	arial_unicode_ms
U+21B8 	NORTH WEST ARROW TO LONG BAR (U+21B8) 	↸ 	arial_unicode_ms
U+21B9 	LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR (U+21B9) 	↹ 	arial_unicode_ms
U+21BA 	ANTICLOCKWISE OPEN CIRCLE ARROW (U+21BA) 	↺ 	arial_unicode_ms
U+21BB 	CLOCKWISE OPEN CIRCLE ARROW (U+21BB) 	↻ 	arial_unicode_ms
U+21BC 	LEFTWARDS HARPOON WITH BARB UPWARDS (U+21BC) 	↼ 	arial_unicode_ms
U+21BD 	LEFTWARDS HARPOON WITH BARB DOWNWARDS (U+21BD) 	↽ 	arial_unicode_ms
U+21BE 	UPWARDS HARPOON WITH BARB RIGHTWARDS (U+21BE) 	↾ 	arial_unicode_ms
U+21BF 	UPWARDS HARPOON WITH BARB LEFTWARDS (U+21BF) 	↿ 	arial_unicode_ms
U+21C0 	RIGHTWARDS HARPOON WITH BARB UPWARDS (U+21C0) 	⇀ 	arial_unicode_ms
U+21C1 	RIGHTWARDS HARPOON WITH BARB DOWNWARDS (U+21C1) 	⇁ 	arial_unicode_ms
U+21C2 	DOWNWARDS HARPOON WITH BARB RIGHTWARDS (U+21C2) 	⇂ 	arial_unicode_ms
U+21C3 	DOWNWARDS HARPOON WITH BARB LEFTWARDS (U+21C3) 	⇃ 	arial_unicode_ms
U+21C4 	RIGHTWARDS ARROW OVER LEFTWARDS ARROW (U+21C4) 	⇄ 	arial_unicode_ms
U+21C5 	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW (U+21C5) 	⇅ 	arial_unicode_ms
